INSERT INTO tarjetacredito (tc_num,tc_fvenc,tc_codseg,tc_ncompl,cn_id) VALUES
(6011920950155625,'15-06-2027',145,'Jose Maria Juan Antonio Cerezo Ribera',61),
(4001793532590180,'19-09-2023',578,'Xavier Jose Miguel Ávila Jordán',62),
(3562201456669116,'01-05-2028',654,'Miguel Eduardo Ramírez Goñi',63),
(340971145220530,'30-11-2021',264,'Felix Iglesia-Grau',64),
(501825298687,'22-10-2019',053,'Juan Carlos Pombo Ibarra',65),
(349525703101184,'17-05-2021',409,'Jose Manuel Andreu Rosa',66),
(3552491277824170,'28-10-2024',750,'Miriam Quintana-Conde',67),
(4510875472635,'28-10-2023',740,'Jose Francisco Cordero Caballero',68),
(4555415594323,'19-09-2019',120,'Jose Ramon Hurtado Solís',69),
(5387503208939756,'16-01-2025',539,'Pablo Julián Vega',70),
(213199176445016,'30-08-2022',501,'Joan Solano',71),
(180099146887538,'22-02-2026',529,'Mario Alcolea-Lloret',72),
(373246270224767,'23-10-2019',849,'Jose Antonio de Reguera',73),
(3530388196735643,'10-11-2019',2573,'Lourdes Porcel Madrigal',74),
(375971041161794,'14-04-2023',569,'Albert Valle',75),
(348495674578144,'26-10-2018',607,'Xavier Barrios Diego',76),
(347590232223570,'31-08-2025',619,'Ángel Jose Antonio Criado Acedo',77),
(4673497743531705,'28-10-2025',8568,'Montserrat de Cano',78),
(213125509939912,'15-11-2022',339,'Andrea de Alba',79),
(4255139601096,'23-04-2021',3941,'Lorenzo Bayón',80),
(580800515950,'05-08-2023',513,'Concepción Salgado Girona',81),
(213195206376791,'12-05-2024',105,'Raul Alberola Luís',82);

INSERT INTO tarjetacredito (tc_num,tc_fvenc,tc_codseg,tc_ncompl,cj_id) VALUES 
(4261234912083202,'29-11-2019',539,'Jose Ignacio Pombo Alberdi',1),
(4820400446850069,'10-11-2021',979,'Elisa de Gaya',2),
(5266387437367260,'28-03-2020',307,'Nieves Cruz',3),
(639068020705,'13-04-2023',923,'Juan Luis Sánchez-Llanos',4),
(4751001244513777,'30-12-2027',691,'Miguel Ángel Alberto Pujadas Oliva',5),
(4276777737695,'24-06-2022',2022,'Hugo Palacios Asenjo',6),
(3501414246450366,'18-02-2019',0642,'Jose Francisco Morante',7),
(4877255908953,'12-02-2023',873,'Nicolás Palomar-Ballester',8),
(6578989085507674,'14-04-2021',693,'Ignacio Samper Casal',9),
(6550146055651691,'08-06-2023',342,'Sonia Villalba Valera',10),
(3583189909292211,'11-12-2026',430,'Lidia Marín Peralta',11),
(4488857106994920,'21-09-2021',582,'Gregorio Herranz Batlle',12),
(3530060438673334,'01-05-2025',568,'Alicia Téllez Quiroga',13),
(4518706834675,'05-02-2020',172,'Hector del Francisco',14),
(4434590894453248,'29-11-2018',455,'Lidia Espada Sierra',15),
(503889286483,'24-09-2023',980,'Mariano Tomás Barbero',16),
(676183802294,'26-03-2026',2987,'Consuelo Roselló-Paredes',17),
(4289630828962009,'11-04-2024',1293,'Mercedes Delgado Nuñez',18),
(5584938697760308,'02-08-2027',710,'Alvaro Gil Roldan',19),
(180021755656509,'03-08-2022',589,'Alejandra Rivero-Roman',20),
(3513952741134007,'17-02-2025',215,'Lorenzo de Peña',21),
(6011657479364276,'10-05-2019',6188,'Purificación Nicolau-Macias',22),
(4621086275219962,'21-09-2022',596,'Miriam Cruz Luís',23),
(379040790534027,'17-04-2021',709,'Ignacio Coloma Izaguirre',24),
(581882659641,'19-02-2020',178,'Margarita Carla Aragón Perelló',25),
(4209987463745,'12-04-2022',751,'Consuelo Patiño Rivera',26),
(4512914954953,'14-06-2025',442,'Encarnacion Peiró Palomar',27),
(3567081345880149,'12-09-2025',3745,'Elisa Díaz Rios',28),
(4540244192341,'02-05-2027',642,'Virginia Figuerola Nieto',29),
(4054562528525062,'27-01-2021',942,'Luis Miguel Nogués Alvarado',30),
(4119706794561,'02-10-2018',561,'Lidia Cañete Torrecilla',31),
(5397556078701399,'31-01-2024',609,'Santiago Tovar Anglada',32),
(3530485007787522,'24-06-2025',7861,'Roberto Bayo Lopez',33),
(4139454109809116,'06-01-2022',909,'Josep Pinto Trillo',34),
(180021678016005,'07-06-2022',079,'Marc del Pol',35),
(3546558257352148,'23-09-2027',056,'Ángel Hector Cardona Avilés',36),
(2229426021732365,'13-10-2019',664,'Carmen Tello Saldaña',37),
(213199686076939,'24-10-2021',548,'Jose Carlos Pedrosa Asensio',38),
(3580588389600244,'14-07-2018',994,'Joan Galván Tejada',39),
(6011757690234231,'08-01-2021',663,'Emilia Corominas',40),
(30000157642657,'10-11-2025',022,'Juan Luis Baró',41),
(349432725554534,'30-08-2026',308,'Jose Luis Martin Roldan',42),
(2224868235342199,'11-09-2026',106,'Blanca Mayol Moraleda',43),
(213131154348623,'19-10-2019',313,'Natalia Barriga',44),
(4570605469376444,'04-02-2022',695,'Emilia Solé Carvajal',45),
(503857050416,'12-10-2021',139,'Cristina Alegre Sala',46),
(213184762887839,'17-07-2025',197,'María Alegria Goicoechea',47),
(4196004683969297,'18-05-2022',790,'Cristina Huguet Moya',48),
(375306121636680,'11-08-2024',045,'Ángel Daniel Agustín Osorio',49),
(5146685951178435,'02-09-2027',862,'Remedios Sanjuan Herrera',50),
(2226701410367061,'11-06-2021',874,'Lucía Gárate Cortina',51),
(180064998158578,'28-01-2022',216,'Guillermo Cifuentes Reig',52),
(375670430438959,'09-06-2027',038,'Carmen Echevarría Cabo',53),
(345524633254258,'22-07-2019',778,'Alvaro Valentín',54),
(565308795030,'02-09-2021',985,'Marcos Tejada-Echevarría',55),
(38431796252479,'15-11-2026',015,'Antonia Baños Soria',56),
(3588120024249880,'22-12-2019',787,'Ruben de Cañellas',57),
(6011952531460000,'12-02-2026',9882,'Andrea de Puga',58),
(340482474734901,'25-12-2019',154,'Clara García Herranz',59),
(4779512407073100,'29-10-2021',339,'Soledad Huguet Armengol',60),
(4603539193653,'27-10-2027',6878,'Joan Valcárcel Arce',61),
(3569514428274275,'09-01-2022',793,'Jose Ignacio Rojas Prieto',62),
(30126721400858,'18-04-2022',285,'Javier del Montenegro',63),
(6533245516972423,'29-04-2028',925,'Elena Lladó Peinado',64),
(342392104632581,'30-12-2026',588,'Alejandro Espada-Olivé',65),
(4041099609640318,'16-03-2028',558,'Juan Francisco Riquelme-Duque',66),
(4313334907829045,'25-10-2022',023,'Joaquin Zorrilla',67),
(572490854278,'24-09-2021',0674,'Miguel Cámara Marcos',68),
(3555009324646367,'10-06-2022',106,'Jose Francisco del Tur',69),
(4931079489006536,'16-06-2021',248,'Eduardo Gregorio Piñol Pallarès',70),
(4349202570440986,'31-01-2023',164,'Alfonso Salamanca Ángel',71),
(5357916829878904,'05-02-2025',353,'Daniel Larrañaga Sáenz',72),
(343283199530005,'03-06-2026',934,'Fátima Arco Ortega',73),
(676211284184,'20-05-2021',018,'Sara Palomares Girón',74),
(4355901996706,'22-09-2024',913,'Pablo Juan Manuel Rius Gaya',75),
(375185934065265,'24-09-2020',266,'Xavier Guardiola Blasco',76),
(5379221425829102,'29-09-2020',728,'Javier Mulet Barros',77),
(4695944669889,'19-06-2019',251,'Jose Caro Manzano',78),
(4976228859044,'10-12-2024',225,'Carolina Blanes-Cisneros',79),
(4972301902708732,'18-03-2022',359,'Gabriel Martinez Tovar',80),
(4008504079165366,'11-11-2021',666,'Alex Bru Salom',81),
(3558318499449458,'25-10-2019',314,'Milagros Olivera Urrutia',82),
