INSERT INTO usuario (u_username, u_password,cn_id) VALUES 
('jorgevilanova','(cr3TLVi9D',61),
('mateomar','20E$q6Iy(y',62),
('peirorafael','TQQ41KJu+r',63),
('jose-ramon88','@1spV)6vMv',64),
('adadiajose-miguel','8%ZGf3ZD*7',65),
('esthertorralba','&A*OFsmB+1',66),
('denriquez','9_V6u^t^&^',67),
('barcelonatalia','$z1RmMklfj',68),
('blanca04','Ez1Ppyz#@H',69),
('gnarvaez',')8ZemS$cJe',70),
('jose-angelcabello','dp*1TDxsbw',71),
('dcanete','%d6Rhd$uk0',72),
('martamadrigal','_4Ds4CW1_)',73),
('sebastianrossello','#r7DXb@yrm',74),
('jbarcena','^OCMz9QU09',75),
('lidia81','LVJS5+Uh6(',76),
('xcardona','u53nxK@2&J',77),
('bmercader','(g2^RufTIf',78),
('palacioirene','$w3&6La45W',79),
('nrodriguez','Uu79DiZnn&',80),
('juanaamador','7*5BO2Bgw0',81),
('martinzaragoza','po7Me+Wq+Y',82),

INSERT INTO usuario (u_username, u_password,e_id) VALUES 
('eduardojaume','hT(4SfEzuk',1),
('mariovalenzuela','+8@xUW@Qyj',2),
('miriammercader','z$7b78Ye+Y',3),
('castejonaurora','V$xqK5Sgt^',4),
('susana39','Y!6NZlb&wV',5),
('raul32','%nc2h3Rekx',6),
('duranmagdalena','e28F&aIn!w',7),
('cobosalvaro','j%4pAA+er(',8),
('begonamoliner','Uq@i2PDiBZ',9),
('dtorrecilla','ye7iVOKy+8',10),
('cabezasantonio','#41REOhyax',11),
('padillajose-miguel','u)O8UcWcN6',12),
('velascopilar','n#tg3F+fu*',13),
('ricardomayo','^2_jD5bkY9',14),
('vtorrents','&I10EEbO9!',15),
('vicentareig','LG+016c6m_',16),
('gargalloolga','v)3Gm_GO%h',17),
('marquesrocio','+n9cUr6Ai^',18),
('gonzalovirginia','p788ZNIgf)',19),
('sosacatalina','(@3FKj(sEP',20),
('jesus50','D#5V7ev*5R',21),
('noelianaranjo','+&BOlgpot5',22),
('kaguilo','S$8gUMtNF@',23),
('kcuenca','827vQ%Da!l',24),
('dolores26','e78^W46h$x',25),
('martintellez','@0PRS8R9yQ',26),
('carlapomares','$!^r3XG_Qk',27),
('adrian89','6rr4Rre2m*',28),
('ttrillo','%@$7zGOmE%',29),
('baenajuan-francisco','8rITMHT2^r',30),
('yramon','!*78JNbXTi',31),
('adrianaporta','+cy3T1OxRM',32),
('juan45','ue4%lTpZg$',33),
('mosqueraesperanza','l35aLDiS$l',34),
('zvarela','AnJ6N(BcV$',35),
('andrearey','^xKrev(Q44',36),
('balvarez','$QvQIhErr2',37),
('dolores52','u6&N0LDoVT',38),
('jose-angel00','i#Mr1ByA*t',39),
('noeliacompany','!zP5P3CpQh',40),
('juan-luis88','$Q4FWnNd%b',41),
('vilaltamartin','c^3n5DSb$9',42),
('lidia97','ZeN3L26L9@',43),
('victoria45','wj2JaG+S!(',44),
('qcazorla','&CJ7&Kmqdu',45),
('vojeda','M5Kj4pcU#R',46),
('angelcortes','7Y3o_4qAl*',47),
('blanca78','_RkwJ1BzNu',48),
('rafaelcasanova','F1DhL)yZ)0',49),
('juan-jose80','%0WA^fceNJ',50),
('gonzalocanete','r0$(hYKN#2',51),
('crebollo','*6MBpRSh&A',52),
('espadajulio','BhbZH9Mb(0',53),
('cabezajuan-jose',')!GRH0Wfa&',54),
('ctorres','B9Ldl$Om#z',55),
('santamariafelipe','$R5k64ZeDn',56),
('canasvirginia','!@7MN&w*0Q',57),
('adrianbriones','!tG*zHP2F5',58),
('tormorosario',')J55M)Im@y',59),
('vicentemarin','%Be5^1Zxo0',60),
('sabatermanuela','OI1BLx$1K@',61),
('casasandres','#6ToYP9oTq',62),
('oconde','^%@54P*yMC',63),
('riquelmepurificacion','_8E*doaD(Y',64),
('veronicapujadas','u4^V$0Ziwv',65),
('chaconrosario','B!6LmCnqc4',66),
('imontenegro',')va6Jfc#+l',67),
('umenendez','nyA4_Eab5_',68),
('portillolorena','Ry#8RBLgDM',69),
('gmarques','w88GByBh^a',70),
('reguerasergio','SUJb2Khr)^',71),
('sara90','&sg2eAPi8H',72),
('lladomarina','(432rAXswa',73),
('ncampo','_Lx9HqRRLg',74),
('iperalta','&zEzelfy1Q',75),
('pinodavid','8A*3Ax%qF^',76),
('ipalmer','jO+l7rJ+#3',77),
('yolandaandreu','W82YYMv9_0',78),
('ycarlos','_CgAcuiUi4',79),
('graciafrancisco','&rxBG(l^+5',80),
('mnoguera',')8qT&)inh2',81),
('emiliotoro','k*jy3#Gh5b',82),
('llanosonia','A3eUaHq+*L',83),
('yolandagoni','!3$6chGePg',84),
('aurora22','Clpfy5Tke)',85),
('emiliagargallo','m0JIXu!!@$',86),
('agustinsala','E)2aE@Iyv7',87),
('pablo90','5lWgcm@!(p',88),
('remediosdiez','W%_d1&IgC6',89),
('vanesafeliu','6q7R&sFqd!',90),
('amatas','0b3C%1t50^',91),
('marinaferrandez','@Cb8$XLl9a',92),
('pablosierra','+La2oFbUl2',93),
('rosarioborras','P$3ViwDxHm',94),
('rjover','%qfX)9m#44',95),
('yolandanunez','%U3ENv4!Si',96),
('hfiguerola','sW8FXOsR!#',97),
('anna50','@9MmfeDnnx',98),
('smorcillo',')3HMGShk$T',99),
('ivan72','#37EvwQ9T1',100),
('buendiatrinidad','wiQ7Jo7a#1',101),
('ralegria','l3H6Qk*s+d',102),
('hugosantana','$3nZuUu!!f',103),
('wlorenzo','nf8LStO!n+',104),
('julia13','1QlJV6kN#g',105),
('osoriojorge','^AQD!Zbam4',106),
('ntirado','t*9PneZf)C',107),
('juana11','3OpRxlNR(8',108),
('consuelolinares','%vL@M&lti8',109),
('nadalmiriam','S2Ktiv)p#I',110),
('jesusgomila','XHCs%89w!3',111),
('juan-franciscocomas','8sjEe6Y!_&',112),
('moraledapaula','!T75KP!jVa',113),
('rodriguezjose-angel','#OZlMWX124',114),
('oblazquez','(yJ3Kuz79D',115),
('miguel91','FW_m1I&j6x',116),
('noguessoledad','*t$Y+YRYz2',117),
('danielinfante','%4LZcSZxvP',118),
('bzabaleta','#CtaE#OAn4',119),
('jesuspalacios','g)7qiA(N5u',120),
('galanmercedes','*5Ok7P1yeU',121),
('hugo46','&N&&(9O!v5',122),
('doloresguillen','4hdpn0ir^Z',123),
('amanjon','3tuVHOA4+^',124),
('morillonicolas','8GrZcwXs!!',125),
('jose-maria09','mi*7fWlOGR',126),
('tomasmalo','+P$6nYm_ky',127),
('gregorioprat','Nhbp2Vsdr_',128),
('murilloinmaculada','#@WSe2nVP8',129),
('angelaacedo','$!I0H8So^#',130),
('fatima84','j&4jObgokk',131),
('blanca23','K89MIzlU^3',132),
('penasluz','xk5kQS$x!$',133),
('campoysoledad','_0lEiZ+PGT',134),
('tomasvazquez','VP1@Mnf#N(',135),
('yheras','ZLW37OVc_s',136),
('rosariobaena','kG77#Ui5$6',137),
('calcaraz','*5LwcLlCXs',138),
('velazquezdolores','r)4ARd8Igv',139),
('fsacristan','*7Xtlv#@i(',140),
('amparovilanova','%8Y1F)j6Kt',141),
('karjona','^f9xvId@2_',142),
('pererapatricia','lKB41Toc)$',143),
('cobosjose-antonio','CH2Szr1n^r',144),
('frueda','cHCKIgjT!9',145),
('cornejocarolina','4VYpNu4U)T',146),
('kbilbao','V)1ZjH%RLs',147),
('izaguirrejoaquin','^1Lkduw&dG',148),
('nerea66','v6EHX1eX(1',149),
('juan-franciscoocana','@2+)N0sTy9',150),
('emilio51','LpN11VArC!',151),
('wpulido','ku7Hz)y3@C',152),
('hnovoa','DtF*KFbM(5',153),
('bravonatalia','dj%3RhSba)',154),
('luzmolins',')u1JWmHk1s',155),
('xvillena','wj@VRz$p$3',156),
('victornavas','@Yg@lp&7w7',157),
('mariabatlle','p5&CFL9i%m',158),
('fernandocifuentes','8aYu^edE_t',159),
('cidvicente','LSc1GHTk!1',160),
('celia32','1RS_%O(u(*',161),
('rosario99','%_XEJG2m!7',162),
('emunoz','zLB6NRXt)*',163),
('ttaboada','k0qK9P9$$U',164),
